Id,Lokacija,Leto,Sobe,Kvadratura,Agencija,Cena
6238148,LJ. CENTER,1902,3.5,124.3,"Stoja trade, d.o.o., Ljubljana",550000.0
6238273,LJ. BEŽIGRAD,1981,3.0,81.0,"Stoja trade, d.o.o., Ljubljana",187000.0
6238431,LJ. BEŽIGRAD,1986,2.0,64.6,"Stoja trade, d.o.o., Ljubljana",149000.0
6238444,LJ. CENTER,1500,4.0,138.04,"Stoja trade, d.o.o., Ljubljana",480000.0
6238449,LJ. CENTER,1500,4.0,168.67,"Stoja trade, d.o.o., Ljubljana",687090.0
6238570,LJ. CENTER,1500,4.0,177.8,"Stoja trade, d.o.o., Ljubljana",740000.0
6238572,LJ. CENTER,1525,3.0,143.0,"Stoja trade, d.o.o., Ljubljana",790000.0
6238611,LJ. VIČ,2019,3.5,119.18,"Stoja trade, d.o.o., Ljubljana",473591.16
6238626,"LJ. ŠIŠKA, ŠMARTNO POD ŠMARNO GORO",1993,4.0,120.9,"Stoja trade, d.o.o., Ljubljana",259000.0
6238638,POLJE,1969,2.0,57.4,"Stoja trade, d.o.o., Ljubljana",169900.0
6239126,LJ. CENTER,1500,4.0,156.1,"Stoja trade, d.o.o., Ljubljana",655000.0
6239127,LJ. CENTER,1500,3.0,121.1,"Stoja trade, d.o.o., Ljubljana",510000.0
6239292,"ŠENTVID, PRUŠNIKOVA",1973,3.0,162.0,Afirmacija d.o.o.,215000.0
6239356,"PODUTIK, PILONOVA",2008,2.0,55.13,"Stoja trade, d.o.o., Ljubljana",185000.0
6239722,DRAVLJE,1968,2.5,77.8,"Dominos d.o.o., PE Ljubljana",182000.0
6239724,"LJ. ŠIŠKA, DRAVLJE",1968,2.5,77.8,"Dominos d.o.o., PE Ljubljana",182000.0
6240187,"LJ. CENTER, KRAKOVO",1897,1.0,42.0,Rojal invest d.o.o.,180000.0
6240206,LJ. CENTER,1900,2.0,44.4,Svet Real d.o.o.,169000.0
6240529,"LJ. BEŽIGRAD, 5 MIN OD CENTRA MESTA",1934,3.0,96.6,"Nepremičninska družba d.o.o., PE RE/MAX Vogal",259000.0
6240612,"LJ. CENTER, VRTAČA",1902,5.0,153.8,"Stoja trade, d.o.o., Ljubljana",884435.0
6240613,"LJ. CENTER, VRTAČA",1902,4.0,132.92,"Stoja trade, d.o.o., Ljubljana",769128.0
6240614,"LJ. CENTER, VRTAČA",1902,4.0,130.2,"Stoja trade, d.o.o., Ljubljana",703554.0
6241040,"LJ. CENTER, MESTNI TRG",1751,4.0,147.55,ABC nepremičnine d.o.o.,238000.0
6241663,LJ. CENTER,1931,3.0,121.96,Zasebna ponudba,479000.0
6241831,SAVLJE,1800,2.0,49.3,Rojal invest d.o.o.,105000.0
6241896,"LJ. CENTER, IZJEMNA LOKACIJA",1524,5.0,240.0,Studio 68 d.o.o.,850000.0
6241941,LJ. CENTER,2008,3.0,126.0,"Aeon nepremičnine, d.o.o., Century 21 Emona",750000.0
6242137,FUŽINE,1986,4.0,92.0,LJUBLJANA NEPREMIČNINE d.o.o.,228000.0
6242149,LJ. CENTER,1929,3.0,79.9,ABC nepremičnine d.o.o.,240000.0
6242252,LJ. CENTER,1988,3.0,77.0,LJUBLJANA NEPREMIČNINE d.o.o.,279000.0
6242330,BROD,2009,3.0,122.3,"Stoja trade, d.o.o., Ljubljana",359000.0
6242427,"KODELJEVO, POVŠETOVA OB ŠPK",1939,3.0,70.4,"Rodman MGM d.o.o., PE nepremičnine",179000.0
6242564,VIŽMARJE,2020,1.0,35.94,Mreža nepremičnin d.o.o.,121478.0
6242565,VIŽMARJE,2020,1.0,35.04,Mreža nepremičnin d.o.o.,121630.0
6242571,VIŽMARJE,2020,1.0,37.12,Mreža nepremičnin d.o.o.,121698.0
6242692,LJ. MOSTE,1987,3.0,89.0,MESTO NEPREMIČNIN d.o.o.,200000.0
6243113,"LJ. CENTER, VODMAT - DVA BALKONA",1979,3.0,92.3,Realia d.o.o.,250000.0
6243382,RUDNIK,2002,4.5,115.0,Rojal invest d.o.o.,229000.0
6243385,RUDNIK,2002,3.5,115.0,Rojal invest d.o.o.,229000.0
6243763,"LJ. BEŽIGRAD, BLIZU CENTER LJ",1974,5.0,163.0,Zasebna ponudba,345000.0
6244111,SP. ŠIŠKA,2006,5.0,131.5,"Stoja trade, d.o.o., Ljubljana",460000.0
6244619,"LJ. BEŽIGRAD, - Z BALKONOM",1960,2.0,53.9,KREATIVDOM d.o.o.,155000.0
6245129,LJ. ŠIŠKA,2018,5.0,406.42,"Stoja trade, d.o.o., Ljubljana",990000.0
6245455,"LJ. BEŽIGRAD, EKO SREBRNA",2015,2.0,66.0,Vuitea d.o.o.,319000.0
6245837,LJ. CENTER,1904,3.0,85.3,LJUBLJANA NEPREMIČNINE d.o.o.,255000.0
6245839,LJ. CENTER,1957,3.0,105.0,"Stoja trade, d.o.o., Ljubljana",390000.0
6246287,LJ. CENTER,1899,4.0,185.8,ABC nepremičnine d.o.o.,480000.0
6246308,KOLEZIJA,1975,2.0,59.7,Akva d.o.o. PE nepremičnine,208000.0
6246330,LJ. CENTER,1560,3.0,69.4,"Stoja trade, d.o.o., Ljubljana",269000.0
6246373,STARA LJ.,1456,4.0,139.5,Urbanistika d.o.o.,630000.0
